dataset,model,attack,defense,eps,n_seeds,seeds,clean_accuracy_mean,clean_accuracy_std,adversarial_accuracy_mean,adversarial_accuracy_std,accuracy_drop_mean,accuracy_drop_std,evasion_rate_mean,evasion_rate_std,attack_success_rate_mean,attack_success_rate_std,mean_l2_perturbation_mean,mean_l2_perturbation_std,mean_linf_perturbation_mean,mean_linf_perturbation_std
cicids2017,mlp,fgsm,none,0.15,3,"42,43,44",1.0,0.0,0.67,0.0,0.32999999999999996,0.0,0.9899999999999999,1.3597399555105182e-16,0.9899999999999999,1.3597399555105182e-16,1.1974721352259319,0.00022081075703278314,0.15000005066394806,0.0
cicids2017,mlp,fgsm,none,0.25,3,"42,43,44",1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,6.798699777552591e-17,1.0,0.0,1.0,0.0,1.9813835620880127,0.0011294745764902328,0.25,0.0
cicids2017,mlp,gan,none,0.15,3,"42,43,44",1.0,0.0,0.6716666666666667,0.0016666666666666496,0.3283333333333333,0.0016666666666666496,0.985,0.0050000000000000044,0.985,0.0050000000000000044,1.17643936475118,0.001153156472122178,0.1499407390753428,1.9612109588078725e-05
cicids2017,mlp,gan,none,0.25,3,"42,43,44",1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,6.798699777552591e-17,1.0,0.0,1.0,0.0,1.6645514170328777,0.0031092090968341153,0.24684814612070718,0.0008407953836168426
cicids2017,mlp,pgd,none,0.15,3,"42,43,44",1.0,0.0,0.67,0.0,0.32999999999999996,0.0,0.9899999999999999,1.3597399555105182e-16,0.9899999999999999,1.3597399555105182e-16,1.1969532171885173,0.00023365277212707679,0.15000005066394806,0.0
cicids2017,mlp,pgd,none,0.25,3,"42,43,44",1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,6.798699777552591e-17,1.0,0.0,1.0,0.0,1.912468711535136,0.0006967503487948221,0.25,0.0
cicids2017,mlp_advtrain,fgsm,adv_train,0.15,3,"42,43,44",0.9716666666666667,0.008819171036881984,0.8766666666666666,0.03320809807528542,0.09500000000000001,0.02455153310442702,0.2887352809143962,0.07691962728787825,0.2966666666666667,0.08098353742170895,1.1973422765731812,0.0002184822706145597,0.15000005066394806,0.0
cicids2017,mlp_advtrain,fgsm,adv_train,0.25,3,"42,43,44",0.9716666666666667,0.008819171036881984,0.7672222222222222,0.045501322732096144,0.20444444444444443,0.036868133384526755,0.621345005007079,0.1179238666443642,0.625,0.12031209415515964,1.9808507363001506,0.0012472292376136487,0.25,0.0
cicids2017,mlp_advtrain,pgd,adv_train,0.15,3,"42,43,44",0.9716666666666667,0.008819171036881984,0.8772222222222222,0.033719979789985574,0.09444444444444444,0.025018511664883752,0.2870686142477295,0.07838136768398098,0.295,0.08261355820929153,1.190090298652649,0.001643366746583493,0.15000005066394806,0.0
cicids2017,mlp_advtrain,pgd,adv_train,0.25,3,"42,43,44",0.9716666666666667,0.008819171036881984,0.7761111111111111,0.04429488725617257,0.19555555555555557,0.035836563161933635,0.5943641009703374,0.11459251562369087,0.5983333333333333,0.11750886491381546,1.8970225652058919,0.004163531096252593,0.25,0.0
cicids2017,transfer:mlp->random_forest,pgd,none,0.15,3,"42,43,44",1.0,0.0,0.9811111111111112,0.007515416254704776,0.018888888888888882,0.007515416254704776,0.05666666666666667,0.02254624876411447,0.05666666666666667,0.02254624876411447,0.9791864156723022,0.0002873661208426976,0.15000005066394806,0.0
unsw_nb15,mlp,fgsm,none,0.15,3,"42,43,44",1.0,0.0,0.6894444444444444,0.0009622504486493344,0.3105555555555556,0.0009622504486493344,0.9316666666666666,0.0028867513459481316,0.9316666666666666,0.0028867513459481316,0.8608957330385844,8.72827415485356e-05,0.15000005066394806,0.0
unsw_nb15,mlp,fgsm,none,0.25,3,"42,43,44",1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,6.798699777552591e-17,1.0,0.0,1.0,0.0,1.42628010114034,0.0006525497817745715,0.25,0.0
unsw_nb15,mlp,gan,none,0.15,3,"42,43,44",1.0,0.0,0.6955555555555555,0.0009622504486493986,0.30444444444444446,0.0009622504486493986,0.9133333333333334,0.0028867513459481316,0.9133333333333334,0.0028867513459481316,0.8498522639274597,0.0008960017131063075,0.1498364806175232,3.380153273556451e-05
unsw_nb15,mlp,gan,none,0.25,3,"42,43,44",1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,6.798699777552591e-17,1.0,0.0,1.0,0.0,1.248587926228841,0.012930690599897161,0.24509590864181519,0.001733029927825322
unsw_nb15,mlp,pgd,none,0.15,3,"42,43,44",1.0,0.0,0.6894444444444444,0.0009622504486493344,0.3105555555555556,0.0009622504486493344,0.9316666666666666,0.0028867513459481316,0.9316666666666666,0.0028867513459481316,0.8606249292691549,9.244865506424213e-05,0.15000005066394806,0.0
unsw_nb15,mlp,pgd,none,0.25,3,"42,43,44",1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,6.798699777552591e-17,1.0,0.0,1.0,0.0,1.3773122231165569,0.0027152392396206674,0.25,0.0
unsw_nb15,mlp_advtrain,fgsm,adv_train,0.15,3,"42,43,44",0.9394444444444444,0.03172509230059831,0.725,0.028037673068767886,0.2144444444444444,0.023353166174426322,0.6433333333333333,0.07005949852327902,0.6433333333333333,0.07005949852327902,0.8608957330385844,8.72827415485356e-05,0.15000005066394806,0.0
unsw_nb15,mlp_advtrain,fgsm,adv_train,0.25,3,"42,43,44",0.9394444444444444,0.03172509230059831,0.6066666666666667,0.03179797338056486,0.33277777777777773,0.0009622504486493344,0.9983333333333334,0.0028867513459481316,0.9983333333333334,0.0028867513459481316,1.42628010114034,0.0006525497817745715,0.25,0.0
unsw_nb15,mlp_advtrain,pgd,adv_train,0.15,3,"42,43,44",0.9394444444444444,0.03172509230059831,0.725,0.028037673068767886,0.2144444444444444,0.023353166174426322,0.6433333333333333,0.07005949852327902,0.6433333333333333,0.07005949852327902,0.8608957330385844,8.72827415485356e-05,0.15000005066394806,0.0
unsw_nb15,mlp_advtrain,pgd,adv_train,0.25,3,"42,43,44",0.9394444444444444,0.03172509230059831,0.6083333333333334,0.02920235911322539,0.3311111111111111,0.002545875386086588,0.9933333333333333,0.00763762615825974,0.9933333333333333,0.00763762615825974,1.376035491625468,0.00032984166369489157,0.25,0.0
unsw_nb15,transfer:mlp->random_forest,pgd,none,0.15,3,"42,43,44",0.9994444444444444,0.0009622504486493984,0.7616666666666667,0.0060092521257733315,0.23777777777777775,0.005091750772173152,0.7145561139028476,0.017290400191221425,0.715,0.018027756377319962,0.7032775282859802,0.0020886673884642467,0.15000003576278687,0.0
