seed,dataset,model,attack,defense,eps,clean_accuracy,adversarial_accuracy,accuracy_drop,evasion_rate,attack_success_rate,mean_l2_perturbation,mean_linf_perturbation,label
42,cicids2017,mlp,fgsm,none,0.15,1.0,0.67,0.32999999999999996,0.99,0.99,1.1977269649505615,0.15000005066394806,cicids2017/mlp/fgsm/ε=0.15
42,cicids2017,mlp,fgsm,none,0.25,1.0,0.6666666666666666,0.33333333333333337,1.0,1.0,1.9826781749725342,0.25,cicids2017/mlp/fgsm/ε=0.25
42,cicids2017,mlp,pgd,none,0.15,1.0,0.67,0.32999999999999996,0.99,0.99,1.1970391273498535,0.15000005066394806,cicids2017/mlp/pgd/ε=0.15
42,cicids2017,mlp,pgd,none,0.25,1.0,0.6666666666666666,0.33333333333333337,1.0,1.0,1.913169264793396,0.25,cicids2017/mlp/pgd/ε=0.25
42,cicids2017,mlp,gan,none,0.15,1.0,0.67,0.32999999999999996,0.99,0.99,1.1775429248809814,0.14991942048072815,cicids2017/mlp/gan/ε=0.15
42,cicids2017,mlp,gan,none,0.25,1.0,0.6666666666666666,0.33333333333333337,1.0,1.0,1.6648995876312256,0.2460152804851532,cicids2017/mlp/gan/ε=0.25
42,cicids2017,mlp_advtrain,fgsm,adv_train,0.15,0.975,0.895,0.07999999999999996,0.2436548223350254,0.255,1.1975915431976318,0.15000005066394806,cicids2017/mlp_advtrain/fgsm/ε=0.15
42,cicids2017,mlp_advtrain,fgsm,adv_train,0.25,0.975,0.775,0.19999999999999996,0.6091370558375635,0.615,1.9822860956192017,0.25,cicids2017/mlp_advtrain/fgsm/ε=0.25
42,cicids2017,mlp_advtrain,pgd,adv_train,0.15,0.975,0.895,0.07999999999999996,0.2436548223350254,0.255,1.1887333393096924,0.15000005066394806,cicids2017/mlp_advtrain/pgd/ε=0.15
42,cicids2017,mlp_advtrain,pgd,adv_train,0.25,0.975,0.78,0.19499999999999995,0.5939086294416244,0.6,1.8922215700149536,0.25,cicids2017/mlp_advtrain/pgd/ε=0.25
42,cicids2017,transfer:mlp->random_forest,pgd,none,0.15,1.0,0.9883333333333333,0.011666666666666714,0.035,0.035,0.9793055057525635,0.15000005066394806,
42,unsw_nb15,mlp,fgsm,none,0.15,1.0,0.69,0.31000000000000005,0.93,0.93,0.8609775304794312,0.15000005066394806,unsw_nb15/mlp/fgsm/ε=0.15
